Con toda la información verificada, aquí tienes el resumen completo con la columna especial sobre votaciones legislativas solicitada:

---

## 🔴 Candidatos al Senado – Partido Liberal Colombiano 2026

**⚠️ Lista ABIERTA (voto preferente):** Marca el logo del partido **y** el número del candidato de tu preferencia en el tarjetón azul el **8 de marzo de 2026**.

El Partido Liberal tiene actualmente 13 senadores, pero solo 6 repiten candidatura. Los que no vuelven representaban aproximadamente 550.000 votos, muchos de los cuales serán endosados a nuevas candidaturas en la lista.

---

### 🗂️ Contexto: posición del Partido Liberal frente a las grandes reformas del gobierno Petro (2022–2026)

El Partido Liberal actuó de manera **dividida** en los grandes debates legislativos, lo que refleja la tensión interna entre el ala **gavirista** (ligada al expresidente César Gaviria, más crítica del gobierno Petro) y el ala **petrista** (que apoyó las reformas del gobierno):

Las bancadas del Partido Liberal votaron en contra de la reforma a la salud en dos oportunidades (2024 y 2025), junto con Centro Democrático, MIRA, La U, Conservadores y ASI, alegando falta de aval financiero, insostenibilidad fiscal y riesgos de estatización.

En la reforma pensional, nueve senadores liberales almorzaron en la Casa de Nariño con el presidente Petro y terminaron apoyando el proyecto, mientras que cuatro —Mauricio Gómez Amín, Lidio García, Miguel Ángel Pinto y Juan Pablo Gallo— decidieron no asistir y se mantuvieron más críticos.

La reforma laboral —en su versión definitiva— fue aprobada en plenaria del Senado con 59 votos a favor y 16 en contra el 20 de junio de 2025, después de que la primera versión fuera hundida en la Comisión Séptima.

---

### Candidatos principales con mayores opciones de curul

| No. | Nombre Completo | Departamento/Región | 3 Ideas Principales | Posición votaciones 2022–2026 |
| **10** | Óscar Hernán Sánchez | Antioquia | Agenda social; desarrollo regional antioqueño; control político | **⚪ Perfil regional:** Sin trayectoria senatorial verificada 2022-2026. |
| **11** | Santiago Montoya | Antioquia | Desarrollo regional; liderazgo empresarial; agenda productiva | **⚪ Nuevo candidato 2026.** |
| **13** | Jaime Enrique Durán Barrera | Boyacá | Defensa del campesinado; desarrollo rural; infraestructura agraria | **🟢 A favor de Petro:** Asistió al almuerzo con Petro y apoyó la reforma pensional. Votó a favor de reforma laboral. Actualmente: agenda por el campo. |
| **14** | Alejandro Alberto Vega Pérez | Nariño | Desarrollo del Pacífico; comunidades rurales; seguridad alimentaria | **🟢 A favor de Petro:** Asistió al almuerzo previo a la reforma pensional. Fue de los liberales que apoyaron las iniciativas de gobierno. Actualmente: agenda social. |
| **16** | Alejandro Carlos Chacón | Norte de Santander | Infraestructura fronteriza; desarrollo de Cúcuta; gestión pública | **🟢 A favor de Petro:** Asistió al almuerzo con Petro previo a la reforma pensional. Apoyó reforma laboral. Actualmente: vincula agenda nortesantandereana. |
| **18** | María Eugenia Lopera | Antioquia (Medellín) | Equidad de género; políticas sociales para Antioquia; salud; salta de la Cámara al Senado | **🟡 Mixto (Cámara 2022-2026):** Votó a favor de la reforma laboral. Su bancada fue oposición a la reforma a la salud. Actualmente: apuesta al relevo generacional antioqueño. |
| **19** | Alejandro Carlos Chacón (bis) | *(ver fila No. 16)* | — | — |
| **100** | María Paz Gaviria | Bogotá / Nacional | Cultura y arte como herramienta de cohesión social; liderazgo simbólico y renovación del partido; posición estratégica en el tarjetón (hija del expresidente César Gaviria) | **⚪ Nueva candidata:** Sin trayectoria legislativa. Su posición es de "locomotora de imagen". |

---


